Season,Week,Date,Team,Opponent,PointsSurrendered,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong
2010,2,9/19/2010 1:00:00 PM,CIN,BAL,10,0,27,24,1,4,9,1,0,0,0,4,44,0,0,0,2,6,0,6,1,60,0,60
2010,2,9/19/2010 1:00:00 PM,CLE,KC,16,0,53,15,1,4,5,0,0,0,0,2,1,0,0,0,1,5,0,5,5,50,0,19
2010,2,9/19/2010 1:00:00 PM,DAL,CHI,27,1,34,2,1,7,2,0,0,0,0,0,0,0,0,0,3,66,1,62,4,107,0,40
2010,2,9/19/2010 4:05:00 PM,DEN,SEA,14,0,35,10,1,4,5,0,1,0,0,3,13,0,0,0,2,2,0,3,1,11,0,11
2010,2,9/19/2010 1:00:00 PM,DET,PHI,35,0,38,18,5,36,4,1,0,0,0,0,0,0,0,0,3,34,0,17,5,109,0,27
2010,2,9/19/2010 1:00:00 PM,GB,BUF,7,0,44,16,4,40,3,0,0,0,0,2,9,0,0,0,3,22,0,9,2,61,0,34
2010,2,9/19/2010 4:15:00 PM,HOU,WAS,27,0,38,16,3,23,5,0,0,0,0,0,0,0,1,0,4,28,0,13,6,88,0,25
2010,2,9/19/2010 8:20:00 PM,IND,NYG,14,1,41,13,4,24,4,3,2,1,1,1,0,0,0,0,3,24,0,12,2,40,0,20
2010,2,9/19/2010 4:15:00 PM,JAX,SD,38,0,46,17,1,8,2,1,1,0,0,2,8,0,1,0,0,0,0,0,6,112,0,29
2010,2,9/19/2010 1:00:00 PM,KC,CLE,14,1,38,10,1,3,1,1,1,0,0,1,33,1,0,0,4,6,0,4,3,58,0,20
2010,2,9/19/2010 1:00:00 PM,MIA,MIN,10,1,51,22,3,17,8,1,1,0,1,3,17,0,0,0,0,0,0,0,2,37,0,19
2010,2,9/19/2010 1:00:00 PM,MIN,MIA,14,0,37,12,2,8,2,2,3,3,0,0,0,0,0,0,3,14,0,14,2,44,0,22
2010,2,9/19/2010 4:15:00 PM,NE,NYJ,28,0,48,13,3,20,0,0,0,0,0,0,0,0,0,0,2,26,0,15,5,123,0,31
2010,2,9/20/2010 8:30:00 PM,NO,SF,22,0,38,12,0,0,5,2,3,0,0,2,11,0,0,1,3,43,0,43,4,90,0,35
2010,2,9/19/2010 8:20:00 PM,NYG,IND,38,0,56,17,1,5,1,1,1,0,0,0,0,0,0,0,1,3,0,3,2,25,0,18
